Text,Sentiment
RT @SpaceX: Timelapse of Falcon 9 and Dragon going vertical https://t.co/WEp20JfU9t,"0.0, 0.0"
"@TeslaHype @Teslarati @ResidentSponge Indeed, US taxpayers actually profited from the Tesla loan","-0.10000000149011612, 0.10000000149011612"
"@Teslarati @ResidentSponge GM &amp; Chrysler were bailed out (money never repaid), but Tesla was not.

Crucial Tesla investment actually came from Daimler in 2009, from which they did very well.

Tesla received govt energy efficiency loan in 2010, by which time capital markets reopened. Loan was repaid early.","0.10000000149011612, 1.600000023841858"
@wapodavenport My plan is to use the money to get humanity to Mars and preserve the light of consciousness,"0.0, 0.0"
RT @SpaceX: Falcon 9 and Dragon vertical on Launch Complex 39A https://t.co/niQOr2lpZQ,"0.0, 0.0"
"@wapodavenport US Federal Debt/GDP was 56% in 2000, now it is 126% &amp; climbing fast","0.0, 0.0"
@dogeofficialceo @wapodavenport 🤣,"0.4000000059604645, 0.4000000059604645"
"@wapodavenport US national debt is ~$28,900 billion or ~$229k per taxpayer.

Even taxing all “billionaires” at 100% would only make a small dent in that number, so obviously the rest must come from the general public. This is basic math.

Spending is the real problem.

https://t.co/1EwWyqdVsT","-0.30000001192092896, 2.299999952316284"
@tesla_raj 👻,"0.30000001192092896, 0.30000001192092896"
@tesla_raj You can also talk through the car speaker. Great for practical jokes :),"0.6000000238418579, 1.2999999523162842"
"@jgrano305 @WholeMarsBlog Tentative plan is 98 &amp; above starts uploading Friday afternoon next week.

If we see any concerns, uploads will pause while we investigate, so might take a few days before everyone with 98 safety gets beta 10.4.

10.4 improves left turns across fast traffic &amp; stopping for gates.","-0.10000000149011612, 0.30000001192092896"
"@WholeMarsBlog FSD/AI team is doing great work. Will get superhuman good in upcoming releases. 

Note, we will slow down upload rate of releases going forward. First from QA fleet to employee cars for a day, then slowly releasing at ~1000 cars/hr to external beta on Friday aft.","0.10000000149011612, 2.299999952316284"
@pinkocat1 @WR4NYGov @RBReich @POTUS 💯,"0.5, 0.5"
"@JayinShanghai That math is incorrect, but still a lot of devices per second! 

I guess if Tesla can reach 20M cars/year, that would be one every ~1.5 seconds!","0.0, 0.10000000149011612"
"@wapodavenport According to their own estimates, this tax only covers ~10% of the $3.5 trillion spending bill. 

Where will the other 90% come from? 

The answer is you.","-0.20000000298023224, 0.800000011920929"
"@BillyM2k If I send you 2 Doge, will you promise to send me 1 Doge?","-0.5, 0.5"
RT @AstroMarshburn: Endurance has arrived at the Hangar! We can’t wait to ride this @SpaceX Dragon to the @Space_Station in a few days… htt…,"0.6000000238418579, 1.2000000476837158"
"@teslaownersSV Wow, 13 years ago","-0.10000000149011612, 0.10000000149011612"
@TheBabylonBee I feel like this has happened at Tesla a few times,"-0.30000001192092896, 0.30000001192092896"
@MorningBrew I kinda like avocado toast &amp; pro level coffee tbh :) Starbase cuisine does an amazing job with those.,"0.8999999761581421, 1.7999999523162842"
@QuantaMagazine Another way of saying we’re in a simulation,"-0.20000000298023224, 0.20000000298023224"
"@PPathole @Tesla Reducing traffic fatalities by 90% seems likely, perhaps ultimately by over 99%","-0.20000000298023224, 0.20000000298023224"
@Tesla This is more important than it may seem at first,"0.20000000298023224, 0.20000000298023224"
"@LudaLisl @sat1 @Hertz Also, Tesla will soon be a German car manufacturer.","0.0, 0.0"
"@LudaLisl @sat1 @Hertz German car manufacturers will rebound strongly. They possess great talent, which will not sit idle.","0.699999988079071, 1.5"
@CathieDWood But the Bee nails it again 🤣🤣 https://t.co/eTDmxVrYxZ,"0.30000001192092896, 0.30000001192092896"
"@podcastnotes Who is best at capital allocation – government or entrepreneurs – is indeed what it comes down to. 

The tricksters will conflate capital allocation with consumption.","0.0, 0.10000000149011612"
@JackBox Thanks 😎,"0.5, 0.5"
@cnunezimages @SpaceX @SpaceIntellige3 Truth is stranger than fiction,"0.0, 0.0"
"@GerberKawasaki To be clear, cars sold to Hertz have no discount. Same price as to consumers.","-0.5, 1.0"
"@CathieDWood I don’t know about long-term, but short-term we are seeing strong inflationary pressure","0.0, 0.0"
"@RichardMcCrackn @RonWyden @JeffBezos Exactly. Eventually, they run out of other people’s money and then they come for you.","-0.4000000059604645, 0.800000011920929"
@Teslarati @KlenderJoey I’d like to express appreciation to Tesla Autopilot engineering &amp; QA for working round the clock all weekend to resolve the problem,"0.20000000298023224, 0.20000000298023224"
"@Teslarati @KlenderJoey Sorry to Tesla beta users for the trouble! Issue turned out to be power saving mode interacting with FSD. 

Our internal QA fleet didn’t see this, because cars are constantly in use, so very rarely enter power saving mode. Internal QA will obv test this case going forward.","-0.20000000298023224, 1.100000023841858"
"@GerberKawasaki Strange that moved valuation, as Tesla is very much a production ramp problem, not a demand problem","-0.20000000298023224, 0.20000000298023224"
Wild $T1mes!,"0.5, 0.5"
"@coach23life @SawyerMerritt Indeed, this is intended to be useful advice, based on my extremely painful experience, not an attack in any way","-0.4000000059604645, 0.4000000059604645"
"@SawyerMerritt Prototypes are trivial compared to scaling production &amp; supply chain. If those are solved, achieving positive gross margin is the next nightmare. 

Starting a second new vehicle line before first is working will divide resources &amp; amplify probability of failure.","-0.5, 1.7000000476837158"
@kimpaquette @Hertz @TomBrady That feature is coming,"0.10000000149011612, 0.10000000149011612"
10.3.1 rolling out now,"0.0, 0.0"
What if ur name is Johnson &amp; u just happen to work at Johnson &amp; Johnson?,"-0.10000000149011612, 0.10000000149011612"
Naughtius Maximus https://t.co/sad4sLZT5D,"0.30000001192092896, 0.30000001192092896"
@CryptoWhale Sclerotic democracy,"-0.10000000149011612, 0.10000000149011612"
Although Teams is pretty good,"0.4000000059604645, 0.4000000059604645"
Macrohard &gt;&gt; Microsoft,"0.0, 0.0"
"@PPathole @Erdayastronaut Raptor 2 has a larger throat diameter, so thrust is ~245 tons at 321 bar","0.10000000149011612, 0.10000000149011612"
@PhantomX91 Maybe Optimus will have a cat girl version …,"-0.10000000149011612, 0.10000000149011612"
erotic democracy &gt;&gt; sclerotic democracy,"-0.10000000149011612, 0.10000000149011612"
@dear_mmoon @engineers_feed 🤣,"0.4000000059604645, 0.4000000059604645"
Pop music has both literal &amp; figurative Stockholm Syndrome,"0.10000000149011612, 0.10000000149011612"
@engineers_feed Wasn’t easy,"-0.5, 0.5"
@ProTheDoge Lots of people I talked to on the production lines at Tesla or building rockets at SpaceX own Doge. They aren’t financial experts or Silicon Valley technologists. That’s why I decided to support Doge – it felt like the people’s crypto.,"-0.10000000149011612, 0.800000011920929"
"Seeing some issues with 10.3, so rolling back to 10.2 temporarily. 

Please note, this is to be expected with beta software. It is impossible to test all hardware configs in all conditions with internal QA, hence public beta.","-0.5, 1.5"
"@Filasophical @ShibaInuHodler Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it. 

As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form.","0.0, 0.5"
@BillyM2k @TeslaGong @mishaboar @DogecoinFdn 💯,"0.5, 0.5"
@ShibaInuHodler None,"-0.10000000149011612, 0.10000000149011612"
"@itsALLrisky @TeslaGong @mishaboar @DogecoinFdn Possibly. Bitcoin was conceived at a time of relatively low bandwidth &amp; high latency. If both continue to improve substantially, we will reach a point when no second layer is needed.","0.10000000149011612, 0.800000011920929"
@jchybow @WholeMarsBlog We’re working on this issue right now,"-0.4000000059604645, 0.4000000059604645"
"@TeslaGong @mishaboar @DogecoinFdn Not recently. What matters imo is lowering fees, decreasing block time &amp; increasing block size. A single layer network with exchanges as de facto layer 2 seems like the simplest solution for a medium of exchange.","0.0, 1.0"
@Kristennetten As requested,"0.30000001192092896, 0.30000001192092896"
"@Erdayastronaut Got to 321 bar before RUD, but cause may be due to oxygen inlet pressure too low, rather than engine issues","0.0, 0.0"
@cleantechnica We live in a gerontocracy,"0.0, 0.0"
@BillyM2k Plus crypto scams haha,"0.20000000298023224, 0.20000000298023224"
"@mishaboar @DogecoinFdn Neither Jared, nor me, nor anyone I know has anything to do with this foundation","-0.6000000238418579, 0.6000000238418579"
RT @SpaceX: Gateway to Mars https://t.co/cej13QdyJP,"0.0, 0.0"
Your support makes a big difference! Please let the FAA know your opinion. https://t.co/4T3NaemoCr,"0.30000001192092896, 1.5"
@martinbowling Yes,"0.699999988079071, 0.699999988079071"
"Regression in some left turns at traffic lights found by internal QA in 10.3. Fix in work, probably releasing tomorrow.","-0.30000001192092896, 0.699999988079071"
@tim_cook Come see the Apple Cloth ™️,"0.0, 0.0"
@UberFacts *In Dogecoin,"0.20000000298023224, 0.20000000298023224"
@slashdot Squid Game is Squid Game for ISPs,"0.6000000238418579, 0.6000000238418579"
@nichegamer 🤣,"0.5, 0.5"
@engineers_feed Hey QT314 😉,"0.6000000238418579, 0.6000000238418579"
Starbase under construction https://t.co/cFXJKvYJjY,"0.10000000149011612, 0.10000000149011612"
@cnunezimages @SpaceX @SpaceIntellige3 Great!,"0.8999999761581421, 0.8999999761581421"
@cnunezimages @SpaceX @SpaceIntellige3 I mean just the image,"0.0, 0.0"
